Iteration,Start Time,End Time,unit1,unit2,drop1,drop2,learn_rate,step1,step2,step3,rate1,rate2,rate3,Train Loss,Val Loss,Train MSE,Val MSE
1,2023-08-09 21:39:30,2023-08-10 03:27:16,96,136,0.21749100056023873,0.2681908016118049,0.001685973698252832,16,1185,4804,0.0004475809896463246,0.00010402869821218235,1.413091557136984e-05,0.04578620195388794,0.05070514231920242,0.002101167570799589,0.0026448084972798824
2,2023-08-10 03:27:16,2023-08-10 07:21:48,33,207,0.3242133157966422,0.24178269886507325,0.004031073173025873,160,1082,2879,0.0006683559265567812,0.00021914773257195654,2.495143614212623e-05,0.0458453968167305,0.04987219348549843,0.0021094130352139473,0.0025769618805497885
3,2023-08-10 07:21:48,2023-08-10 10:04:32,69,141,0.2760386998798945,0.08365674846720209,0.003965623454991558,311,1495,2151,0.0006403557112132734,0.00019542594916150516,2.2011346020439298e-05,0.04123774543404579,0.050230707973241806,0.0017057345248758793,0.002590607153251767
4,2023-08-10 10:04:32,2023-08-10 15:42:32,29,198,0.31651842554986853,0.37590044094769726,0.0029166020602380467,320,1271,4305,0.0005520846093623293,0.0002761067232062697,4.998767714979833e-05,0.042603749781847,0.04910052567720413,0.0018551645334810019,0.0024768575094640255
5,2023-08-10 15:42:32,2023-08-10 18:19:42,50,143,0.11747365238164395,0.38611385118599345,0.0026362827204485665,494,1065,2410,0.0004121789939089519,0.00018632024277782092,2.6224236369469792e-05,0.046902481466531754,0.05144137516617775,0.0022191388998180628,0.002733981003984809
6,2023-08-10 18:19:42,2023-08-10 23:02:15,45,165,0.43155015288968407,0.3327336663999127,0.0018957684318650515,238,1644,4811,0.00010974974519183216,0.0003490875761900136,6.3837158801623775e-06,0.04425128921866417,0.04961931332945824,0.0019637199584394693,0.0025366030167788267
7,2023-08-10 23:02:15,2023-08-11 02:47:53,100,47,0.05527570636668868,0.40519890127721875,0.003109562371813999,465,1285,4414,0.0006826073557645407,0.0004141026278017147,1.626930295771309e-05,0.04398828744888306,0.05064241588115692,0.00193795096129179,0.0026421851944178343
8,2023-08-11 02:47:53,2023-08-11 10:27:01,80,174,0.30753090290802126,0.3714641837174081,0.0034092854033191543,237,1998,2159,0.00031412326455880295,0.00024093671712162724,2.307147661582064e-05,0.046499550342559814,0.05090494453907013,0.002177273388952017,0.0026652750093489885
9,2023-08-11 10:27:01,2023-08-11 15:01:08,72,140,0.23495832152941332,0.3008030292756292,0.00118538140373616,73,1224,4070,0.0008956775310652884,0.00034497063879460125,1.9542840313973936e-05,0.04333210363984108,0.04877812787890434,0.0018938313005492091,0.0024547306820750237
10,2023-08-11 15:01:08,2023-08-11 17:35:36,125,89,0.14453225356862276,0.28944164167426173,0.0037605295213460313,257,1464,2089,0.00035674595505266656,0.00013676737436109265,3.7484604182975144e-05,0.048794861882925034,0.05115162953734398,0.0023958224337548018,0.002687227912247181
11,2023-08-11 17:35:36,2023-08-11 21:26:36,21,201,0.44180917362073396,0.146159925840821,0.0025006490826092417,488,1524,4299,0.0008197830818910453,0.00026239986989509657,2.7293188334698834e-05,0.04159662500023842,0.05028757080435753,0.0017343958606943488,0.0026035381015390158
12,2023-08-11 21:26:36,2023-08-12 00:45:10,78,185,0.38153954821897723,0.11030633791862468,0.004679183315761911,58,1311,2156,0.0008556512146444944,0.00032415213567797615,1.5180173877017765e-05,0.04227198660373688,0.050224896520376205,0.0017964449943974614,0.0025917235761880875
13,2023-08-12 00:45:10,2023-08-12 07:32:35,98,128,0.3365241027957088,0.44592034682845905,0.0014422992532964192,70,1068,3542,0.00017802226935876306,0.00038336999756333266,1.9993001535383098e-05,0.04742835462093353,0.05035387724637985,0.002261717803776264,0.002609836868941784
14,2023-08-12 07:32:35,2023-08-12 12:46:35,90,20,0.3330142589774021,0.36280086372933473,0.0009013074321130841,353,1738,3356,0.000315092870269544,9.018953334375012e-05,4.050963580408604e-05,0.05485817417502403,0.052633196115493774,0.0030458432156592607,0.0028636306524276733
15,2023-08-12 12:46:35,2023-08-12 16:10:21,20,202,0.3511221756949027,0.18764216542224738,0.004396266570773255,482,1404,2862,0.0007038831296890251,0.00047185995037625657,1.7077688112520017e-05,0.04259786754846573,0.04943297430872917,0.001826637308113277,0.002519172616302967
16,2023-08-12 16:10:22,2023-08-12 20:16:19,78,163,0.30345228765988647,0.4476624202483147,0.0026937144538162062,184,1660,4187,0.000549793251343634,0.0004997269405026113,4.313033828814727e-05,0.045641884207725525,0.050946641713380814,0.0020991177298128605,0.0026634305249899626
17,2023-08-12 20:16:19,2023-08-13 02:42:14,126,137,0.23101355137315216,0.15523722843709373,0.0037346934557436606,371,1786,4740,0.00018986192903671173,0.00010386833320763167,4.4690931462668384e-05,0.0426628440618515,0.05215391516685486,0.0018379715038463473,0.002790984930470586
18,2023-08-13 02:42:14,2023-08-13 06:25:08,88,169,0.29204493235129436,0.11076084922201979,0.004707102872847068,254,1038,2845,0.0007396337388228228,0.00013989797447949056,1.062778037641008e-05,0.04239371046423912,0.05104716867208481,0.0018080405425280333,0.002668578177690506
19,2023-08-13 06:25:08,2023-08-13 11:32:19,49,244,0.16946731219580924,0.0920932111037562,0.0039854255119879094,422,1476,4218,0.0004087662241161715,0.00018899321775397784,2.3301421675938466e-05,0.03833013400435448,0.050159599632024765,0.0014842248056083918,0.0026072377804666758
20,2023-08-13 11:32:19,2023-08-13 15:43:31,66,177,0.411707570896323,0.052552912443697836,0.002272233017688235,494,1640,4263,0.0008450415501992882,0.00039246987751894027,9.406994692323857e-06,0.03524099662899971,0.050728172063827515,0.0012597270542755723,0.002657752251252532
21,2023-08-13 15:43:31,2023-08-13 22:02:51,23,246,0.1766738303469194,0.27380559736840065,0.0024611720788469756,476,1603,4504,0.00018981090706100064,6.957540567643928e-05,2.7838554102884998e-05,0.0445672832429409,0.051162734627723694,0.0020034427288919687,0.0026901871897280216
22,2023-08-13 22:02:51,2023-08-14 04:13:21,92,214,0.3568300189130752,0.16339011920130617,0.0016344979449602465,166,1743,3400,0.0008524560522938756,7.999140959599091e-05,1.4901601573085212e-05,0.04051297903060913,0.049398135393857956,0.0016520897625014186,0.0024921614676713943
23,2023-08-14 04:13:21,2023-08-14 06:47:36,86,83,0.4347172029542702,0.3982527750660418,0.004953775468052432,33,1962,2905,0.00046517273745162415,0.0003284139734272991,2.8434039272167894e-05,0.050396211445331573,0.05161365494132042,0.0025497658643871546,0.0027498260606080294
24,2023-08-14 06:47:36,2023-08-14 12:33:11,108,128,0.19676146034501646,0.37463833414546377,0.003067203121232419,423,1516,4291,0.0007107333012500864,6.111611401872075e-05,3.7941599329180205e-05,0.044310666620731354,0.05021125450730324,0.001982456538826227,0.0025934791192412376
25,2023-08-14 12:33:11,2023-08-14 18:27:19,78,220,0.4270328169107959,0.46497454519561143,0.0013663588230701088,11,1064,4676,0.0005918381853219758,0.00016352959548475914,4.0043534624485994e-05,0.049058735370635986,0.050642140209674835,0.0024262398947030306,0.0026682429015636444
26,2023-08-14 18:27:19,2023-08-15 00:48:15,42,252,0.38544527466766065,0.2259833910304221,0.0021841983880273794,445,1582,4260,0.00015594874274412593,0.00024193785976427354,1.928203168463139e-05,0.042634714394807816,0.04851387068629265,0.0018286037957295775,0.0024151834659278393
27,2023-08-15 00:48:15,2023-08-15 02:08:45,74,24,0.19922112817705856,0.12906116920235963,0.0039723494008760424,81,1443,2002,0.0008675111472629787,0.00022103621130731678,9.423331300738658e-06,0.049875326454639435,0.051857177168130875,0.002500424161553383,0.002769118407741189
28,2023-08-15 02:08:45,2023-08-15 08:18:02,95,215,0.3176914321714986,0.2673003078961623,0.0005274784969899678,156,1744,3429,0.0009896906088914352,0.00047239922871586464,2.152884976940935e-05,0.04102369025349617,0.047478143125772476,0.0016867041122168303,0.0023035306949168444
29,2023-08-15 08:18:02,2023-08-15 14:10:05,122,145,0.3402683765600061,0.151531935246787,0.003802103243429987,439,1523,4319,0.0008343703267145015,0.00022844840913998217,1.1876763483666685e-05,0.04073433205485344,0.05150695890188217,0.0016657740343362093,0.0027427140157669783
30,2023-08-15 14:10:05,2023-08-15 18:21:39,39,235,0.397499980104105,0.16066890254371397,0.0005911954198296375,63,1152,2096,0.0006620991184618459,0.00021596081044998638,3.663223435421157e-05,0.046807341277599335,0.05107371509075165,0.00220096274279058,0.002691863337531686
